رقم	اسم البلدية	Commune - Fr
0101	أدرار	ADRAR
0119	أقبلى	AKABLI
0123	أوقرت	AOUGROUT
0121	أولاد أحمد تيمى	OULED AHMED TIMMI
0110	أولاد السعيد	OULED SAID
0127	أولاد عيسى	OULED AISSA
0112	أولف	AOULEF
0126	السبع	SBAA
0120	الطارفة	METARFA
0105	ان زغمير	IN ZGHMIR
0125	برج باجى مختار	BORDJ BADJI MOKHTAR
0122	بودة	BOUDA
0102	تأماست	TAMEST
0114	تامنطيت	TAMENTIT
0108	تسابيت	TSABIT
0113	تمقتن	TIMOKTEN
0116	تنيركوك	TINERKOUK
0106	تيت	TIT
0128	تيمياوين	TIMIAOUINE
0109	تيميمون	TIMIMOUN
0117	دلدول	DELDOUL
0104	رقان	REGGANE
0111	زاوية كنتة	ZAOUIET KOUNTA
0118	سالى	SALI
0103	شروين	CHAROUINE
0124	طالمين	TALMINE
0115	فنوغيل	FENOUGHIL
0107	قصر قدور	KSAR KADDOUR
0222	أبو الحسن	ABOU EL HASSEN
0233	أم الذروع	OUM DROU
0230	أولاد بن عبد القادر	OULED BEN.AEK
0218	أولاد عباس	OULED ABBES
0210	أولاد فارس	OULED FARES
0227	الحجاج	EL HADJADJ
0220	الزبوجة	ZEBOUDJA
0219	السنجاس	SENDJAS
0224	الشطية	CHETTIA
0201	الشلف	CHLEF
0217	الظھرة	DAHRA
0204	الكريمية	EL KARIMIA
0223	المرسى	EL MARSA
0215	الھرنفة	HARENFA
0234	بريرة	BREIRA
0203	بنايرية	BENAIRIA
0235	بنى بوعتاب	BENI BOUATEB
0207	بنى حواء	BENI HAOUA
0213	بنى راشد	BENI RACHED
0231	بوزغاية	BOUZGHAIA
0212	بوقادير	BOUKADIR
0205	تأجنة	TADJNA
0206	تاوقريت	TAOUGRIT
0214	تلعصة	TALASSA
0202	تنس	TENES
0209	حرشون	HARCHOUN
0225	سيدي عبد الرحمان	SIDI ABDERRAHMANE
0211	سيدى عكاشة	SIDI AKKACHA
0208	صبحة	SOBHA
0232	عين مران	AIN MERANE
0228	لأبيض مجاجة	LABIOD MEDJADJA
0226	مصدق	MOUSSADEK
0229	وادى الفضة	OUED FODDA
0221	وادى سلى	OUED SLY
0216	وادى قوسين	OUED GOUSINE
0319	آفلو	AFLOU
0301	الأغواط	LAGHOUAT
0323	الحوايطة	EL HOUITA
0309	الخنق	KHENNEG
0320	العسفية	EL ASSAFIA
0314	الغيشة	EL GHICHA
0313	بريدة	BRIDA
0303	بن ناصر بن شھرة	MEKHAREG
0312	بيضاء	BEIDHA
0318	تاجرونة	TAJROUNA
0308	تاجموت	TADJEMOUNT
0317	تاويالة	TAOUILA
0315	حاج مشري	HADJ MECHERI
0306	حاسى الرمل	HASSI RMEL
0305	حاسى دالع	HASSI DALAA
0316	سبقاق	SEBGAG
0324	سيدي بوزيد	SIDI BOUZID
0304	سيدي مخلوف	SIDI MAKHLOUF
0311	عين سيدي على	AIN SIDI ALI
0307	عين ماضي	AIN MAHDI
0302	قصر الحيران	KSAR.HIRANE
0310	قلتة سيدي سعد	GUELTAT SIDI SAAD
0321	واد مرة	OUED MORRA
0322	واد مزي	OUED MZI
0401	أم البواقي	OUM BOUAGHI
0420	أولاد الزوى	OULED ZOUAI
0410	أولاد حملة	OULED HAMLA
0428	أولاد قاسم	OULED GACEM
0407	الباللة	EL BELALA
0414	الجازية	EL DJAZIA
0429	الحرملية	EL HARMALIA
0426	الراحية	RAHIA
0418	الزرق	ZORG
0411	الضلعة	DHALA
0405	العامرية	EL AMIRIA
0419	الفجوج بوغرارة سعودى	EL FEDJOUDJ BOUGHARA SAOUDI
0421	بئر الشھداء	BIR CHOUAHADA
0404	بحير الشرقي	BEHIR CHERGUI
0409	بريش	BERRICHE
0417	سوق نعمان	SOUK NAAMANE
0406	سيقوس	SIGUS
0402	عين البيضاء	AIN BEIDA
0415	عين الديس	AIN DISS
0427	عين الزيتون	AIN ZITOUN
0425	عين الفكرون	AIN FAKROUN
0408	عين ببوش	AIN BABOUCHE
0412	عين كرشة	AIN KERCHA
0403	عين مليلة	AIN MLILA
0416	فكيرينة	FKIRINA
0422	قصر الصباحى	KSAR SBAHI
0424	مسكيانة	MESKIANA
0423	وادى نينى	OUED NINI
0413	ھنشير تومغانى	HANCHIR TOUMGHANI
0516	أريس	ARRIS
0555	أمدوكل	MDOUKAL
0520	أولاد سالم	OULED SELAM
0553	أولاد سى سليمان	OULED SI SLIMANE
0556	أولاد عمار	OULED AMAR
0540	أولاد عوف	OULED AOUF
0549	أولاد فاضل	OULED FADHEL
0530	إيشمول	ICHMOUL
0543	الجزار	DJEZZAR
0557	الحاسى	EL HASSI
0525	الرحبات	RAHBAT
0558	الزرو	LAZROU
0539	القصبات	GOSBAT
0515	المتكوك	METKOUAK
0507	المعذر	EL MADHER
0511	اينوغيسن	INOUGHISENE
0501	باتنة	BATNA
0542	بريكة	BARIKA
0532	بنى فضالة الحقانية	BENI FOUDHALA EL HAKANIA
0560	بوالحيالت	BOULHILET
0535	بوزينة	BOUZINA
0541	بومقر	BOUMAGUER
0559	بومية	BOUMIA
0514	بيطام	BITAM
0508	تازولت	TAZOULT
0538	تاكسالنت	TAXLENT
0534	تالخمت	TALAKHAMET
0526	تغانمين	TIGHANIMINE
0521	تغرغار	TIGHERGHAR
0544	تكوت	TKOUT
0518	تيالطو	TILATOU
0550	تيمقاد	TIMGAD
0547	ثنية العابد	TENIET EL ABED
0513	جرمة	DJERMA
0546	حيدوسة	HIDOUSSA
0551	رأس العيون	RAS EL AIOUN
0529	رقانة	SEGGANA
0554	زانةالبيضاء	ZANET BEIDA
0505	سريانة	SERIANA
0524	سفيان	SEFIANE
0536	شمرة	CHEMORA
0552	شير	CHIR
0545	عين التوتة	AIN TOUTA
0519	عين جاسر	AIN DJASSER
0522	عين ياقوت	AIN YAGOUT
0512	عيون العصافير	OUYOUN ASSAFIR
0502	غسيرة	GHASSIRA
0523	فسديس	FESDIS
0531	فم الطوب	FOUM TOUB
0528	قصر بالزمة	KSAR BELEZMA
0510	قيقبة	GUIGBA
0517	كيمل	KIMMEL
0561	لرباع	LARBAA
0527	لمسان	LEMSANE
0504	مروانة	MEROUANA
0503	معافة	MAAFA
0506	منعة	MENAA
0509	نقاوس	NGAOUS
0537	وادى الشعبة	OUED CHAABA
0548	وادى الطاقة	OUED TAGA
0533	وادى الماء	OUED EL MA
0624	أذكار	ADEKAR
0615	إغرم	IGHREM
0617	إغيل على	IGHIL ALI
0618	إفالين الماثن	IFLAIN ILMATEN
0625	أقبو	AKBOU
0642	أكفادو	AKFADOU
0616	أمالو	AMALOU
0602	أميزور	AMIZOUR
0636	أوزالقن	OUZELAGUEN
0622	أوقاس	AOKAS
0647	آيت اسماعيل	AIT SMAIL
0628	آيت رزين	AIT RIZINE
0630	السوق أوفال	SOUK OUFELLA
0640	القصر	EL KSEUR
